,Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs,datetime,month,hour
10,20100150,15205,2010,1/11/2010 2:30 PM,32296,TARGA RESOURCES OPERATING LP,N-4 LINE (NORMAL BUTANE),ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NORMAL BUTANE,LAKE CHARLES,CALCASIEU,LA,30.25989,-93.20991,NATURAL FORCE DAMAGE,TEMPERATURE,2237.0,25.0,0.0,2237.0,NO,NO,YES,1/11/2010 14:45,1/15/2010 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29360.0,136233.0,0.0,0.0,0.0,0.0,165593,2010-01-11 14:30:00,1,14
11,20100262,15399,2010,1/11/2010 2:47 PM,31454,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",0,TAFT,SAN PATRICO,TX,28.05529,-97.32797,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.0,0.0,3.0,0.0,NO,NO,YES,1/11/2010 14:55,1/11/2010 22:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,415.0,10000.0,7971.0,308883.0,0.0,357269,2010-01-11 14:47:00,1,14
12,20100234,18134,2010,1/11/2010 3:00 PM,9175,JAYHAWK PIPELINE LLC,CHASE KAW TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,0,0,CHASE,RICE,KS,38.34519,-98.31356,CORROSION,INTERNAL,2.0,0.0,1.0,1.0,NO,NO,YES,1/11/2010 15:10,1/13/2010 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,150.0,0.0,3000.0,6500.0,500.0,12150,2010-01-11 15:00:00,1,15
13,20100026,17874,2010,1/11/2010 11:00 PM,31684,CONOCOPHILLIPS,TANK 824,ONSHORE,TANK,CRUDE OIL,0,0,CUSHING,PAYNE,OK,35.94466,-96.75427,NATURAL FORCE DAMAGE,TEMPERATURE,53.0,0.0,51.0,2.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,150.0,0.0,0.0,100.0,32600.0,37850,2010-01-11 23:00:00,1,23
14,20100106,17751,2010,1/12/2010 10:25 AM,26085,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,CUSHING,LINCOLN,OK,35.93749,-96.74417,CORROSION,INTERNAL,21.0,0.0,21.0,0.0,NO,NO,YES,1/12/2010 10:25,1/14/2010 10:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6826.0,150.0,0.0,13357.0,0.0,0.0,20333,2010-01-12 10:25:00,1,10
15,20100082,17824,2010,1/12/2010 2:30 PM,32080,"CCPS TRANSPORTATION, LLC","CCPS TRANSPORTATION, RUSH STATION",ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,RUSHVILLE,SCHUYLER,IL,40.16833,-90.56593,INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0.0,0.19,0.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,30000.0,0.0,0.0,32500,2010-01-12 14:30:00,1,14
16,20100037,18592,2010,1/12/2010 7:08 PM,12105,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,0,PAWNEE,PAWNEE,OK,36.39836,-96.74622,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445.0,5.0,0.0,445.0,NO,NO,YES,1/12/2010 19:08,1/20/2010 14:34,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0,34000.0,68000.0,324000.0,1901615.0,15000.0,2517615,2010-01-12 19:08:00,1,19
17,20100025,17505,2010,1/13/2010 7:36 AM,31174,"SHELL PIPELINE CO., L.P.",SORRENTO DOME,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,SORRENTO,ASCENSION,LA,30.1724,-90.782,NATURAL FORCE DAMAGE,TEMPERATURE,3.49,0.0,0.0,3.49,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,254,2010-01-13 07:36:00,1,7
18,20110071,18051,2010,1/13/2010 1:30 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",0,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),0,GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,6.0,0.0,6.0,0.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,30000.0,0.0,30504,2010-01-13 13:30:00,1,13
19,20100100,17975,2010,1/13/2010 3:30 PM,22855,"KOCH PIPELINE COMPANY, L.P.",PARK RAPIDS PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,MENAHGA,HUBBARD,MN,46.8197,-95.1489,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,0.0,0.0,0.48,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,64645.0,2000.0,66679,2010-01-13 15:30:00,1,15
20,20100057,17557,2010,1/14/2010 1:15 PM,10250,KIANTONE PIPELINE CORP,GOWANDA BOOSTER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,GOWANDA,CATTARAUGUS,NY,42.38229,-78.91763,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.2,0.04,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,17.0,0.0,50000.0,20000.0,0.0,75017,2010-01-14 13:15:00,1,13
21,20110083,17836,2010,1/15/2010 7:05 AM,31325,PACIFIC PIPELINE SYSTEM LLC,LINE 63 SOUTH PACIFIC PIPELINES BP REFINERY TANK F,ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,CARSON,LOS ANGELES,CA,33.80933,-118.25413,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1.0,0.0,1.0,0.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,1000000.0,3500000.0,0.0,4575000,2010-01-15 07:05:00,1,7
22,20100231,15700,2010,1/15/2010 3:00 PM,9175,JAYHAWK PIPELINE LLC,0,ONSHORE,UNDERGROUND,CRUDE OIL,0,0,ELLIS,ELLIS,KS,38.81386,-99.42139,CORROSION,INTERNAL,5.0,0.0,2.0,3.0,NO,NO,YES,1/15/2010 15:10,1/16/2010 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,700.0,0.0,1500.0,1500.0,3880,2010-01-15 15:00:00,1,15
23,20100071,17807,2010,1/18/2010 10:00 AM,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),0,PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2.0,0.0,0.0,2.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,100.0,0.0,0.0,0.0,0.0,1100,2010-01-18 10:00:00,1,10
24,20100031,17419,2010,1/19/2010 1:10 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",AURORA PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OTHER,JET FUEL,AURORA,ADAMS COUNTY,CO,39.0081,-104.01317,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.79,0.0,0.9,0.89,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,500.0,0.0,10000.0,12000.0,0.0,26000,2010-01-19 13:10:00,1,13
25,20100087,18354,2010,1/19/2010 8:00 PM,4805,EXPLORER PIPELINE CO,WOOD RIVER TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),0,HARTFORD,MADISON,IL,38.82204,-90.07892,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,0.0,2.0,1.0,NO,NO,YES,1/19/2010 20:01,1/20/2010 9:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,85.0,0.0,5100.0,0.0,0.0,46185,2010-01-19 20:00:00,1,20
26,20100091,17835,2010,1/21/2010 9:30 AM,31325,PACIFIC PIPELINE SYSTEM LLC,NORTH COLES LEVEE,ONSHORE,TANK,CRUDE OIL,0,0,TAFT,KERN,CA,35.27901,-119.31192,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,0.0,2.0,0.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,150.0,0.0,2000.0,4457.0,0.0,7807,2010-01-21 09:30:00,1,9
27,20100177,15873,2010,1/21/2010 12:30 PM,15674,PLANTATION PIPE LINE CO,FLUKER STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),0,GREENSBURG,ST. HELENA,LA,30.78251,-90.75851,NATURAL FORCE DAMAGE,TEMPERATURE,6.76,0.0,6.76,0.0,NO,NO,YES,1/21/2010 12:30,1/21/2010 20:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,570.0,0.0,105000.0,10000.0,0.0,200570,2010-01-21 12:30:00,1,12
28,20100257,17800,2010,1/21/2010 6:43 PM,15674,PLANTATION PIPE LINE CO,KOLA PUMPING STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),0,COLLINS,COVINGTON,MS,31.63251,-89.52266,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0.0,0.71,0.0,NO,NO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,0.0,0.0,670.0,0.0,0.0,2800,2010-01-21 18:43:00,1,18
29,20120021,17357,2010,1/22/2010 12:05 PM,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,EL DORADO STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",0,EL DORADO,BUTLER COUNTY,KS,37.803255,-96.873398,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.2,0.0,1.2,0.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3623.0,3263.0,1981.0,8867,2010-01-22 12:05:00,1,12
30,20100072,17806,2010,1/24/2010 12:30 PM,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),0,PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,0.0,0.0,1.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,100.0,0.0,0.0,0.0,0.0,2100,2010-01-24 12:30:00,1,12
31,20100017,20768,2010,1/25/2010 11:07 AM,11733,LOOP INC,LOOP LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,CUT OFF,LAFOURCHE,LA,29.47,-90.25444,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,202.0,0.0,202.0,0.0,NO,NO,YES,1/25/2010 23:42,1/27/2010 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,600000.0,37000.0,0.0,667000,2010-01-25 11:07:00,1,11
32,20100018,17492,2010,1/27/2010 3:30 PM,31174,"SHELL PIPELINE CO., L.P.",PORT ARTHUR TK FM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",0,PORT ARTHUR,JEFFERSON,TX,29.8916,-93.9897,ALL OTHER CAUSES,MISCELLANEOUS,0.6,0.0,0.0,0.6,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,65.0,0.0,10000.0,0.0,0.0,60065,2010-01-27 15:30:00,1,15
33,20100084,17313,2010,1/28/2010 11:00 AM,1248,BELLE FOURCHE PIPELINE CO,DICKINSON GATHERING,ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,DICKINSON,STARK,ND,46.851256,-102.770368,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,20.0,0.0,13.0,7.0,NO,NO,YES,1/28/2010 11:05,1/28/2010 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,420.0,0.0,750.0,9500.0,0.0,11170,2010-01-28 11:00:00,1,11
34,20110376,17761,2010,2/2/2010 8:00 AM,31476,SEMGROUP LP,FLEMING STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,0,0,HARPER,HARPER,KS,37.355914,-98.206945,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15.0,0.0,10.0,5.0,NO,NO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,500.0,0.0,2000.0,1000.0,0.0,6500,2010-02-02 08:00:00,2,8
35,20100244,17856,2010,2/4/2010 3:10 PM,22430,WEST SHORE PIPELINE CO,MITCHELL FIELD TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",0,MILWAUKEE,MILWAUKEE,WI,42.9289,-87.8884,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.19,0.05,NO,NO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,35.0,0.0,0.0,1986.0,0.0,4521,2010-02-04 15:10:00,2,15
36,20100032,17394,2010,2/6/2010 11:30 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",EL DORADO WEST STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),0,EL DORADO,BUTLER,KS,37.80218,-96.90935,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,0.0,1.67,1.33,NO,NO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,3000.0,1500.0,0.0,4800,2010-02-06 11:30:00,2,11
37,20100233,18026,2010,2/8/2010 12:20 PM,31174,"SHELL PIPELINE CO., L.P.",ERATH - EAST HOUSTON CRUDE,ONSHORE,UNDERGROUND,CRUDE OIL,0,0,LAKE ARTHUR,JEFFERSON DAVIS,LA,30.0795,-92.7465,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5.0,0.0,0.0,5.0,NO,NO,YES,2/8/2010 12:21,2/10/2010 10:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0,400.0,30000.0,120000.0,0.0,0.0,380400,2010-02-08 12:20:00,2,12
38,20100256,17808,2010,2/9/2010 10:00 AM,15674,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),0,BATON ROUGE,EAST BATON ROUGE,LA,30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0.0,0.64,0.0,NO,NO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,450.0,0.0,0.0,950,2010-02-09 10:00:00,2,10
39,20100253,17861,2010,2/9/2010 3:25 PM,1845,"BUCKEYE PARTNERS, LP",CLERMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",0,LINCOLN,HENDRICKS,IN,39.8106,-86.3342,NATURAL FORCE DAMAGE,TEMPERATURE,0.71,0.0,0.71,0.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.0,3063.0,0.0,5377,2010-02-09 15:25:00,2,15
40,20100001,15751,2010,2/16/2010 7:42 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",WAYNE JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",0,WAYNE,DUPAGE,IL,41.94352,-88.23353,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0.0,0.12,0.0,NO,NO,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25900.0,15.0,0.0,1500.0,1900.0,1200.0,30515,2010-02-16 07:42:00,2,7
